emoji,emoji_name
Lenny Face,( ͡° ͜ʖ ͡°)
Listening to music,((d[-_-]b))
Look of Disapproval,ಠ__ಠ
Look of Disapproval,ಠ_ಠ
Look of Disapproval,ಠ益ಠ
Middle fingers,(凸ಠ益ಠ)凸
Nervous,(#^.^#)
Nervous,(-_-;)
Nervous,(^^;)
Nervous,(^^ゞ
Nervous,(^_^;)
Nervous,(~_~;)
Nervous,(・.・;)
Nervous,(・_・;)
Nervous,(・・;)^^;
Nervous,^_^;
Octopus,<コ:彡
Octopus,Ｃ:.ミ
Partied all night,#‑)
Penis,3=D
Penis,8====D
Penis,8===D
Penis,8===D~~~
Penis,8=>
Penis,8=D
Questioning,(／ロ°)／
Questioning,＼(°ロ＼)
Raise Your Dongers,ヽ༼ຈل͜ຈ༽ﾉ
Ronald Reagan,",:‑)"
Ronald Reagan,7:^]
Rose,@>‑‑>‑‑
Rose,@}->--
Rose,@};-
Rose,@}‑;‑'‑‑‑
Sad,(..)
Sad,(._.)
Sad,:(
Sad,:-||
Sad,:<
Sad,:@
Sad,:[
Sad,:c
Sad,:{
Sad,:‑(
Sad,:‑<
Sad,:‑[
Sad,:‑c
Sad,;(
Santa Claus,*<|:‑)
Sealed lips,:#
Sealed lips,:&
Sealed lips,:X
Sealed lips,:‑#
Sealed lips,:‑&
Sealed lips,:‑X
Shame,!!
Shame,(-.-)
Shame,(-_-)
Shame,(ー_ー)
Shame,(一一)
Shame,(；一_一)
Shocked,(°◇°)
Shocked,（ ﾟ Дﾟ)
Shooting star,☆ミ
Shooting star,☆彡
Shrug,¯\(°_o)/¯
Shrug,¯\_(ツ)_/¯
Shrug,ヽ(´ー｀)┌
Skull,8-X
Skull,8=X
Skull,x-3
Skull,x=3
Sleeping,(-_-)
Sleeping,(-_-)zzz
Sleeping,zzz(︶｡︶✽)
Smoking,(-.-)y-°°°
Smoking,(^.^)y-.o○
Snake,~>°)～～～
Snubbed,(´･ω･`)
Snubbed,(‘A`)
Straight face,:|
Straight face,:‑|
Studying is good,.....φ(・∀・＊)
Surprise,(o.o)
Surprise,(￣□￣;)
Surprise,8‑0
Surprise,:-0
Surprise,:O
Surprise,:o
Surprise,:‑O
Surprise,:‑o
Surprise,=0
Surprise,=O
Surprise,=o
Surprise,>:O
Surprise,o.O
Surprise,oO
Surprise,o_0
Surprise,o_O
Surprise,°O°
Surprise,°o°
Table flip, ¯\_(ツ)
Table flip, ┻━┻
Table flip,(╯°□°）╯︵ ┻━┻┬──┬
Table flip,(ノಠ益ಠ)ノ彡┻━┻
Table flip,┬─┬ノ( º _ ºノ)
Table flip,︵ヽ(`Д´)ﾉ︵ ┻━┻
Tadpole,(°°)～
Tears of happiness,:')
